event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240521_142851_quarto,2024-05-21,quarto,2024-05-21T17:28:51Z,2024-05-21T17:28:51Z,cooperative,NA,1,1,1,NA,2,10,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_143110_tesoura,2024-05-21,tesoura,2024-05-21T17:31:10Z,2024-05-21T17:31:10Z,cooperative,8,1,3,1,NA,3,20,4;23,FALSE,0,FALSE,0,0,FALSE,NA,on 14:34:20,NA,NA,NA
20240521_143458_tesoura,2024-05-21,tesoura,2024-05-21T17:34:58Z,2024-05-21T17:34:58Z,cooperative,8,1,4,1,NA,2,19,2;6,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_143550_tesoura,2024-05-21,tesoura,2024-05-21T17:35:50Z,2024-05-21T17:35:50Z,cooperative,8,1,5,1,NA,3,21,NA,FALSE,0,FALSE,0,0,FALSE,NA,14:35:00,NA,NA,NA
20240521_143608_tesoura,2024-05-21,tesoura,2024-05-21T17:36:08Z,2024-05-21T17:36:08Z,cooperative,8,1,5,1,NA,2,21,23,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_143630_tesoura,2024-05-21,tesoura,2024-05-21T17:36:30Z,2024-05-21T17:36:30Z,cooperative,8,1,5,1,NA,1,21,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,4057,NA
20240521_143637_tesoura,2024-05-21,tesoura,2024-05-21T17:36:37Z,2024-05-21T17:36:37Z,cooperative,8,1,5,1,NA,3,21,6,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_143925_tesoura,2024-05-21,tesoura,2024-05-21T17:39:25Z,2024-05-21T17:39:25Z,cooperative,8,1,5,1,NA,4,21,14,FALSE,0,TRUE,1,1,FALSE,NA,NA,7D_LAG,4044,NA
20240521_144135_tesoura,2024-05-21,tesoura,2024-05-21T17:41:35Z,2024-05-21T17:41:35Z,cooperative,8,1,4,1,NA,3,20,14,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_144207_tesoura,2024-05-21,tesoura,2024-05-21T17:42:07Z,2024-05-21T17:42:07Z,cooperative,8,1,4,1,NA,2,20,NA,TRUE,1,FALSE,0,0,TRUE,on,on,7D_LAG,4047,NA
20240521_144230_tesoura,2024-05-21,tesoura,2024-05-21T17:42:30Z,2024-05-21T17:42:30Z,cooperative,8,1,4,1,NA,3,20,4;23,FALSE,0,TRUE,1,1,FALSE,NA,NA,7D_LAG,4048,NA
20240521_144308_tesoura,2024-05-21,tesoura,2024-05-21T17:43:08Z,2024-05-21T17:43:08Z,cooperative,8,1,4,1,NA,2,20,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,4050-53,NA
20240521_144345_tesoura,2024-05-21,tesoura,2024-05-21T17:43:45Z,2024-05-21T17:43:45Z,cooperative,8,1,4,1,NA,3,20,4;6;20,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_144435_tesoura,2024-05-21,tesoura,2024-05-21T17:44:35Z,2024-05-21T17:44:35Z,cooperative,8,1,4,1,NA,2,20,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,4056,NA
20240521_144456_tesoura,2024-05-21,tesoura,2024-05-21T17:44:56Z,2024-05-21T17:44:56Z,cooperative,8,1,4,1,NA,3,20,23;6,TRUE,1,FALSE,0,0,FALSE,NA,off 14:48:00,NA,NA,NA
20240521_145150_quarto,2024-05-21,quarto,2024-05-21T17:51:50Z,2024-05-21T17:51:50Z,cooperative,NA,1,4,1,NA,2,20,NA,TRUE,1,TRUE,2,9,FALSE,NA,off,NA,NA,NA
20240521_145350_tesoura,2024-05-21,tesoura,2024-05-21T17:53:50Z,2024-05-21T17:53:50Z,cooperative,NA,1,4,1,NA,2,23,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_145550_tesoura,2024-05-21,tesoura,2024-05-21T17:55:50Z,2024-05-21T17:55:50Z,cooperative,NA,1,4,1,NA,3,23,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_145742_quarto,2024-05-21,quarto,2024-05-21T17:57:42Z,2024-05-21T17:57:42Z,cooperative,NA,1,3,1,NA,3,23,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_145821_quarto,2024-05-21,quarto,2024-05-21T17:58:21Z,2024-05-21T17:58:21Z,cooperative,NA,1,3,1,NA,2,23,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_145939_quarto,2024-05-21,quarto,2024-05-21T17:59:39Z,2024-05-21T17:59:39Z,cooperative,NA,1,3,1,NA,2,23,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_150058_tesoura,2024-05-21,tesoura,2024-05-21T18:00:58Z,2024-05-21T18:00:58Z,cooperative,NA,1,3,1,NA,3,24,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_150113_tesoura,2024-05-21,tesoura,2024-05-21T18:01:13Z,2024-05-21T18:01:13Z,cooperative,NA,1,3,1,NA,4,24,4;6;20,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
