event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240531_123918_tesoura,2024-05-31,tesoura,2024-05-31T15:39:18Z,2024-05-31T15:39:18Z,non_cooperative,NA,0,1,0,NA,1,6,23;4,FALSE,0,FALSE,0,0,TRUE,off: 12:39:18,off: 12:39:18,NA,NA,NA
20240531_124048_tesoura,2024-05-31,tesoura,2024-05-31T15:40:48Z,2024-05-31T15:40:48Z,non_cooperative,NA,0,1,0,NA,1,6,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_124258_tesoura,2024-05-31,tesoura,2024-05-31T15:42:58Z,2024-05-31T15:42:58Z,non_cooperative,NA,0,1,0,NA,1,7,23,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_124436_tesoura,2024-05-31,tesoura,2024-05-31T15:44:36Z,2024-05-31T15:44:36Z,non_cooperative,NA,0,1,0,NA,1,7,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_124529_tesoura,2024-05-31,tesoura,2024-05-31T15:45:29Z,2024-05-31T15:45:29Z,non_cooperative,NA,0,1,0,NA,1,7,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_124759_tesoura,2024-05-31,tesoura,2024-05-31T15:47:59Z,2024-05-31T15:47:59Z,non_cooperative,NA,0,1,0,NA,4,7,4;23,FALSE,0,TRUE,3,7,TRUE,off,off,NA,NA,Help sonar
20240531_125054_tesoura,2024-05-31,tesoura,2024-05-31T15:50:54Z,2024-05-31T15:50:54Z,non_cooperative,NA,0,1,0,NA,1,4,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_125625_tesoura,2024-05-31,tesoura,2024-05-31T15:56:25Z,2024-05-31T15:56:25Z,cooperative,5,1,1,1,NA,5,10,4;2;23,FALSE,0,FALSE,0,0,TRUE,on: 12:56:55,on 183: 12:56:55,NA,NA,NA
20240531_125753_tesoura,2024-05-31,tesoura,2024-05-31T15:57:53Z,2024-05-31T15:57:53Z,cooperative,5,1,1,1,NA,3,7,NA,FALSE,0,FALSE,NA,NA,TRUE,on,on,NA,NA,NA
20240531_125810_tesoura,2024-05-31,tesoura,2024-05-31T15:58:10Z,2024-05-31T15:58:10Z,NA,5,0,1,0,NA,3,13,NA,FALSE,0,FALSE,NA,NA,TRUE,on,on,NA,NA,NA
